SearchName,DatFile,JobID,NumberOfSpectra,NumberOfSpectraOver25,Over25inPercent,Comment
20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-last.mgf+AF8-Fusion,F257868.dat,257868,34433,259,0.75,
20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-mean.mgf+AF8-Fusion,F257869.dat,257869,34433,218,0.63,
20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA+AF8-benchmark+AF8-mspy.mgf+AF8-Fusion,F257870.dat,257870,28799,7448,25.86,
20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-first.mgf+AF8-Fusion,F257871.dat,257871,34467,9945,28.85,
20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-last.mgf+AF8-Fusion,F257872.dat,257872,34467,306,0.89,
20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-mean.mgf+AF8-Fusion,F257873.dat,257873,34467,264,0.77,
20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-first.mgf+AF8-Fusion,F257874.dat,257874,34467,9945,28.85,
20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-last.mgf+AF8-Fusion,F257875.dat,257875,34467,306,0.89,
20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-mean.mgf+AF8-Fusion,F257876.dat,257876,34467,264,0.77,
20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA+AF8-benchmark+AF8-mspy.mgf+AF8-Fusion,F257877.dat,257877,28150,6485,23.04,
TP+AF8-HeLa+AF8-200ngf+AF8-deisotoped+AF8-highest.mgf+AF8-Fusion,F257919.dat,257919,27583,16491,59.79,
TP+AF8-HeLa+AF8-200ng+AF8-fbdm+AF8-first+AF8-MascotAll.mgf+AF8-Fusion,F258031.dat,258031,27583,16713,60.59,
TP+AF8-HeLa+AF8-200ng+AF8-fbdm+AF8-first+AF8-MascotBoldRelated.mgf+AF8-Fusion,F258032.dat,258032,27583,16716,60.6,
TP+AF8-HeLa+AF8-200ng+AF8-fbdm+AF8-first+AF8-MascotItalicRelated.mgf+AF8-Fusion,F258033.dat,258033,27583,16715,60.6,
TP+AF8-HeLa+AF8-200ng+AF8-fbdm+AF8-first+AF8-MascotStandartRelated.mgf+AF8-Fusion,F258034.dat,258034,27583,16714,60.6,
TP+AF8-HeLa+AF8-200ng+AF8-fbdm+AF8-first+AF8-empty+AF8-properties.mgf+AF8-Fusion,F258035.dat,258035,27583,16721,60.62,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA+AF8-fbdm+AF8-first+AF8-empty+AF8-properties.mgf+AF8-Fusion,F258037.dat,258037,34335,11315,32.95,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA.mgf+AF8-Fusion,F258039.dat,258039,34335,11094,32.31,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDAHCD.mgf+AF8-Fusion,F258040.dat,258040,34335,11423,33.27,
TP+AF8-HeLa+AF8-200ng+AF8-removedNoise5Percent+AF8-fbdm.mgf+AF8-Fusion,F258099.dat,258099,27583,16716,60.6,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258226.dat,258226,34433,10985,31.9,
/srv/lucas1/Downloads/MascotDaemon/input/mgf/DDA+AF8-pd/20161201+AF8-22+AF8-Mix1b+AF8-2+AF8-DDA.mgf+AF8-deisotoped,F258227.dat,258227,34467,9945,28.85,
